Gene start (bp)	Gene end (bp)	Gene % GC content	Chromosome/scaffold name	Gene name	NCBI gene (formerly Entrezgene) ID
40177010	40195656	54.16	17	RAPGEFL1	51195
44408120	44408203	38.10	20	MIR3646	100500813
18383367	18467281	41.71	20	DZANK1	55184
57735739	57757244	56.58	16	KATNB1	10300
176269395	176338025	35.02	2	MTX2	10651
231337104	231355023	41.57	1	SPRTN	83932
48922024	48958386	49.92	X	OTUD5	55593
184694085	184734130	39.99	4	CENPU	79682
98599635	98599883	39.36	12	SNORA53	677832
98613405	98645113	40.95	12	IKBIP	121457
231363751	231422287	39.60	1	EGLN1	54583
73711317	73711397	56.79	7	MIR4284	100422948
73768997	73770270	69.15	7	CLDN3	1365
56919602	56971675	38.91	5	MIER3	166968
73834590	73842516	59.28	7	METTL27	155368
189441446	189475552	37.02	2	WDR75	84128
98515579	98550351	39.69	12	TMPO	7112
234757619	234760056	50.82	1	LINC02961	100130249
73861159	73865890	53.53	7	TMEM270	135886
143597831	143603224	64.52	8	TIGD5	84948
157794403	157820120	41.03	1	FCRL1	115350
44956687	44979229	37.51	15	TERB2	145645
143603210	143609773	60.13	8	PYCR3	65263
49580646	49591004	53.55	19	PRRG2	5639
128297685	128343908	43.22	7	RBM28	55131
8413131	8490411	44.62	17	NDEL1	81565
73735458	73753351	55.78	15	INSYN1	388135
57772289	57772352	62.50	16	MIR6772	102465463
57798186	57816946	52.80	16		388282
41182725	41230757	43.99	15	EXD1	161829
48961378	48971844	53.58	X	KCND1	3750
143612618	143618048	65.11	8	GFUS	7264
68754620	68844410	50.04	11	CPT1A	1374
50742050	50801935	36.42	16	CYLD	1540
184851013	184851110	44.90	4	MIR3945	100500818
49635292	49640143	59.05	19	RRAS	6237
184938383	184938440	41.38	4	MIR4455	100616111
113221544	113264492	41.29	9	SLC31A1	1317
54920462	54931431	51.41	X	TRO	7216
105145875	105279816	36.29	4	TET2	54790
235547685	235650754	48.07	1	GNG4	2786
113255835	113275572	43.06	9	CDC26	246184
41837775	41848147	60.49	15	PLA2G4B	100137049
49642209	49658642	58.14	19	SCAF1	58506
50888916	50931437	41.67	20	ADNP	23394
218442626	218443996	32.75	1	TGFB2-OT1	103611157
234629311	234634780	41.99	1	LINC00184	100302691
140926299	141012347	39.43	5	PCDHAC1	56135
113275642	113294009	42.31	9	PRPF4	9128
241356285	241494841	45.58	2	FARP2	9855
176463171	176845601	39.35	1	PAPPA2	60676
76453351	76470117	53.01	17	AANAT	15
128455849	128458418	51.52	7	HILPDA	29923
7115736	7128889	51.28	12	RBP5	83758
56630176	56734086	34.78	15	ZNF280D	54816
33440696	33468091	38.40	5	TARS1	6897
122610108	122621066	36.97	4	IL21	59067
128476729	128506602	45.29	7	METTL2B	55798
49289206	49362473	41.52	17	ZNF652	22834
49659569	49665875	57.17	19	IRF3	3661
7129698	7158945	51.75	12	CLSTN3	9746
122618983	122689156	40.04	4	IL21-AS1	100996941
45109452	45115174	51.91	20	WFDC5	149708
204617170	204685738	50.12	1	LRRN2	10446
1716523	1738599	57.66	17	WDR81	124997
122732702	122744942	39.69	4	BBS12	166379
2692780	2760108	49.28	20	EBF4	57593
113297093	113303376	49.82	9	RNF183	138065
212285410	212361853	39.33	1	PPP2R5A	5525
1974636	1974760	56.00	4	SCARNA22	677770
1982717	2041903	48.30	4	NELFA	7469
102405742	102405855	35.96	7	MIR548O	100313829
143636019	143656418	47.93	8	ZNF623	9831
68891276	68903835	50.69	11	MRPL21	219927
102456238	102464863	54.36	7	ALKBH4	54784
113349541	113371233	46.76	9	BSPRY	54836
102464956	102473168	61.05	7	LRWD1	222229
93754844	93819234	37.38	8	TMEM67	91147
113373419	113376986	54.76	9	HDHD3	81932
113386312	113401290	51.37	9	ALAD	210
72692143	72887694	38.80	10	MCU	90550
31870634	31945000	46.05	20	TTLL9	164395
68980021	68980986	59.73	11	MRGPRD	116512
69012283	69018447	58.00	11	MRGPRF-AS1	101928200
244352635	244389663	44.83	1	SPMIP3	200159
69048932	69136316	56.48	11	TPCN2	219931
1986384	1986477	67.02	4	MIR943	100126332
2059327	2069089	66.53	4	NAT8L	339983
113407235	113410675	49.35	9	POLE3	54107
182573634	182589256	41.52	1	RNASEL	6041
102465742	102465826	63.53	7	MIR5090	100847073
102471469	102471531	66.67	7	MIR4467	100616367
79826739	79850878	46.57	10	NUTM2E	283008
48831018	48866522	43.96	17	CALCOCO2	10241
69713633	69738574	36.95	12		101928002
93993931	94332823	41.12	10	PLCE1	51196
1871393	1982207	47.15	4	NSD2	7468
107823063	107826891	37.27	2	RGPD4-AS1	729121
102637025	102642791	57.17	7	UPK3BL1	100134938
113410054	113429690	43.34	9	C9orf43	257169
69825227	69959097	39.67	12	MYRFL	196446
212830141	212847649	43.95	1	SPATA45	149643
64102394	64242253	54.42	20	MYT1	4661
17877847	18361616	39.79	2	KCNS3	3790
41947194	41958939	53.85	22	SMIM45	339674
42085526	42090884	48.65	22	NDUFA6	4700
186828949	186988981	36.10	1	PLA2G4A	5321
42126499	42130865	62.72	22	CYP2D6	1565
56955785	56955864	60.00	7	MIR4283-1	100422917
96525267	96779595	39.41	5	CAST	831
96875882	96986580	52.10	2	FAM178B	51252
64103802	64107565	62.54	20	NPBWR2	2832
64255695	64304820	44.52	20	PCMTD2	55251
61854148	62096920	44.33	9	FAM27C	105379444
218459265	218525978	39.84	1	LINC02869	440714
70366290	70434292	39.68	12	KCNMB4	27345
52109263	52112775	52.23	15	BCL2L10	10017
204131062	204152044	52.56	1	ETNK2	55224
9067664	9116229	37.18	12	A2M	2
55826922	55993660	38.49	15	NEDD4	4734
57209865	57222897	51.67	7		105375297
57242681	57245931	52.26	7		105375298
67717411	67719178	53.73	9	FAM27E3	100131997
241734602	241768816	56.87	2	D2HGDH	728294
23035312	23039237	55.86	20	SSTR4	6754
23045633	23049672	54.68	20	THBD	7056
20658309	20995955	36.92	9	FOCAD	54914
23079360	23086324	51.46	20	CD93	22918
57405025	57405090	66.67	7	MIR3147	100422939
69147228	69171564	51.31	11		338694
90245174	90311063	36.10	7	CFAP69	79846
42140203	42149500	54.79	22	CYP2D7	105377203
23125068	23132635	52.93	20	LINC00656	200261
118359600	118399211	40.54	11	UBE4A	9354
42079691	42084284	48.41	22	SMDT1	91689
64073181	64079988	63.53	20	RGS19	10287
182899865	182953525	38.47	1	SHCBP1L	81626
20115938	20127355	57.68	22	RANBP1	5902
53491040	53504411	45.45	16	AKTIP	64400
64076955	64077010	62.50	20	MIR6813	102466741
64083376	64084398	74.88	20	LKAAEAR1	198437
85530144	85654428	39.33	14	FLRT2	23768
72516820	72516898	54.43	14	MIR7843	102465832
96501433	96567116	36.57	14	PAPOLA	10914
22510100	22524209	44.05	20		105372564
23179272	23190419	47.75	20		100505664
119429901	119438504	55.36	2	TMEM37	140738
18675909	18827921	41.71	X	PPEF1	5475
211743457	211830763	38.29	1	LPGAT1	9926
66926036	67101551	35.70	10	LRRTM3	347731
7383227	7450544	40.68	2		100506274
7818497	8016631	39.52	10	TAF3	83860
44752558	44862788	51.22	22	ARHGAP8	23779
234646289	234683176	42.68	1		101927787
8050450	8053484	60.72	10	GATA3-AS1	399717
68903863	68940602	50.64	11	IGHMBP2	3508
102648784	102655725	47.85	8	KLF10	7071
110871795	110900006	34.69	10	PDCD4	27250
207034366	207081024	42.36	1	PFKFB2	5208
63142759	63151201	38.49	12	AVPR1A	552
60087661	60653784	43.06	20	MIR646HG	284757
90335223	90391453	38.02	7	GTPBP10	101927446
90335223	90391453	38.02	7	GTPBP10	85865
159712457	159771027	38.09	2	MARCHF7	64844
65278643	65491430	37.12	12	MSRB3	253827
89818179	89871319	54.79	16	SPIRE2	84501
76712832	76726799	48.83	17	JMJD6	23210
20999509	21031640	36.72	9	HACD4	401494
21077104	21077942	41.72	9	IFNB1	3456
21140632	21141832	41.05	9	IFNW1	3467
21165637	21166660	39.36	9	IFNA21	3452
32551144	32568621	42.17	9	SMIM27	100129250
36784324	36936125	38.10	8	KCNU1	157855
136440096	136483759	52.76	9	SEC16A	9919
49223366	49230787	56.75	17	PHOSPHO1	162466
110898090	110898155	27.27	10	MIR4680	100616113
110898730	110919201	38.61	10	BBIP1	92482
24308210	24314069	47.53	X	SUPT20HL2	170067
24465244	24550466	40.80	X	PDK3	5165
39868202	39877896	38.79	17	ZPBP2	124626
89873570	89913627	55.04	16	TCF25	22980
23356586	23358175	52.08	20	LINC01431	100505683
50292709	50315488	52.54	20	LINC01270	284751
90383721	90513402	39.02	7	CLDN12	9069
60055853	60072956	47.37	20	LINC02910	284756
101550547	101554700	48.89	X	ARMCX1	51309
101615118	101618001	51.56	X	ARMCX6	54470
62550447	62570767	61.63	20	MIR1-1HG	128826
189031898	189225312	34.93	2	COL5A2	1290
30477362	30527592	39.72	17	GOSR1	9527
44881162	45010005	52.73	22	PHF21B	112885
99013266	99877580	36.65	8	VPS13B	157680
212791828	212816830	40.56	1	TATDN3	128387
101622797	101627843	45.41	X	ARMCX3	51566
105235290	105396097	41.95	12	C12orf75	387882
110919367	111017307	35.08	10	SHOC2	8036
45000565	45003619	51.69	22		101927551
50162633	50166233	47.15	20	LINC01275	101927512
18527802	18530573	67.82	22	TMEM191B	728229
90466424	91210590	37.97	7	CDK14	5218
64914361	64944591	41.09	14	CHURC1	91612
38419638	38435409	51.19	20	SNHG17	388796
49682117	49682195	64.56	19	MIR5088	100847074
18846811	18861049	55.41	22	POM121L15P	102725072
3218297	3526004	35.00	9	RFX3	5991
10412315	10420595	33.79	12	KLRC3	3823
101655281	101659850	51.75	X	ARMCX2	9823
49690898	49713731	53.01	19	CPT1C	126129
35119824	35231056	45.97	22	LINC01399	104310353
87674860	87702233	40.79	6	AKIRIN2	55122
39114285	39136973	39.61	14	GEMIN2	8487
71833200	71837710	37.57	11	DEFB108B	245911
88047841	88066838	35.36	6	SPACA1	81833
133181409	133214832	41.98	12	ZNF268	10795
71878453	71884561	33.75	11	DEFB131B	100129216
29264989	29269822	41.77	15	NSMCE3	56160
28884483	29118315	48.63	15	APBA2	321
75724577	75814286	37.52	4	USO1	8615
15112424	15247208	43.70	11	INSC	387755
87590067	87667453	38.95	6	ORC3	23595
89912119	89920973	58.17	16	MC1R	4157
90019629	90044975	52.63	16	GAS8	2622
7355123	7357219	59.61	17	TMEM95	339168
15790156	15830694	40.35	X	ZRSR2	8233
241360891	241372749	40.30	2		105373973
130521197	130528604	52.90	2	CFC1B	653275
62533957	62536728	61.90	20		105376995
82418318	82442645	55.13	17	HEXD	284004
72609034	72894101	46.01	14	DPF3	8110
22547663	22578642	45.16	20	LINC00261	140828
110936622	110937233	55.72	10	RPL13AP6	644511
110988926	110989013	35.23	10	MIR548E	100313921
111077029	111080907	59.71	10	ADRA2A	150
75913660	75941013	44.37	4	NAAA	27163
150612381	150635818	39.27	2	LINC02612	101929282
470291	746105	42.03	9	KANK1	23189
45023147	45077185	45.27	15	SORD	6652
62811996	62819167	57.81	10	EGR2	1959
50247643	50283250	53.06	20	PELATON	100506115
41688877	41698136	51.31	22	C22orf46P	79640
38446343	38450940	52.76	20	SNHG11	128439
103367966	103389065	43.36	10	TAF5	6877
101418287	101533459	41.06	X	ARMCX4	100131755
169588849	169630193	40.48	1	SELP	6403
42500553	42512562	55.61	22	SERHL	94009
90028908	90029901	55.63	16	GAS8-AS1	750
91264433	91271326	47.62	7	FZD1	8321
73497538	73626117	42.18	10	USP54	159195
90004871	90019890	59.30	16	DBNDD1	79007
241492670	241509730	59.30	2	STK25	10494
90469639	90513397	38.24	7	PTTG1IP2	102723899
67648338	67665406	43.53	12	DYRK2	8445
132648794	132728769	44.93	7	FLJ40288	286023
9967358	9968352	44.82	X	CLDN34	100288814
102125679	102140426	41.81	X	TCEAL2	140597
132758970	132760632	48.59	7		100506937
116524994	116561179	41.69	7	CAV1	857
24544104	24646191	41.54	6	KIAA0319	9856
102153708	102155977	49.91	X	BEX5	340542
1289887	1340147	55.01	4	MAEA	10296
18601117	18602097	43.43	14	OR11H12	440153
105107324	105169130	35.27	12	WASHC4	23325
20190896	20201075	39.89	14	OR11G2	390439
45092650	45114172	54.78	15	DUOX2	50506
107713221	107777342	48.75	X	TSC22D3	1831
23321457	23326163	50.18	14	PABPN1	8106
30693782	30907824	48.17	22	OSBP2	23762
56858518	56858601	57.14	16	MIR138-2	406930
56865207	56915850	52.83	16	SLC12A3	6559
24439766	24442905	53.54	14	SDR39U1	56948
28328325	28335489	47.79	17	IFT20	90410
26152198	26187137	44.68	7	NFE2L3	9603
45114326	45118421	58.67	15	DUOXA2	405753
221555550	221563653	39.19	1		105372937
26201162	26213607	41.37	7	CBX3	11335
107774899	107795829	42.81	X	NCBP2L	392517
209583714	209613939	47.01	1	CAMK1G	57172
119588337	119606443	42.93	X	NKRF	55922
133896438	133956968	55.74	11	IGSF9B	22997
144772224	144787345	49.13	8	ZNF34	80778
45129933	45165576	52.90	15	DUOX1	53905
48153088	48274696	44.31	10	FRMPD2	143162
49739753	49763306	51.35	19	TSKS	60385
24721658	24751960	40.34	6	LINC02828	105374978
11822423	12724523	38.96	X	FRMPD4	9758
24774931	24786099	36.82	6	GMNN	51053
5619764	5644398	41.62	11	TRIM34	53840
42247569	42255128	64.05	19	ERF	2077
30653359	30731462	38.63	X	GK	2710
77265483	77271206	57.20	14	NGB	58157
144789765	144792587	60.89	8	RPL8	6132
20891385	20892348	49.38	14	RNASE3	6037
248838210	248849517	52.37	1	ZNF672	79894
42313309	42325064	57.16	19	TMEM145	284339
51153559	51162428	46.38	17	NME1	4830
42661716	42706447	39.39	7	LINC01448	101928795
73675638	73761137	41.40	11	RAB6A	5870
1345691	1395989	56.87	4	UVSSA	57654
209614870	209652425	49.93	1	LAMB3	3914
20810702	20916911	35.90	12	SLCO1B3	28234
4343527	4360086	55.95	19	MPND	84954
42916828	42932185	38.26	7	PSMA2	5683
26521709	26527404	41.73	6	HCG11	107986583
26521709	26527404	41.73	6	HCG11	493812
26538366	26546933	41.64	6	HMGN4	10473
26569324	26574698	45.23	6		105374988
27837880	27838375	59.07	6	H2AC15	8330
27865317	27865798	60.37	6	H2AC16	8332
27866792	27867588	57.72	6	H1-5	3009
27871845	27872346	59.56	6	H3C11	8354
27873148	27873534	56.33	6	H4C13	8368
27890315	27893106	48.75	6	H3C12	8356
27892699	27893185	58.11	6	H2AC17	8336
27893425	27893891	57.82	6	H2BC17	8348
27911185	27912396	41.25	6	OR2B2	81697
62352970	62356480	65.85	20	LAMA5-AS1	101928158
30058899	30064909	41.39	6	POLR1H	30834
56904264	56904353	40.00	16	MIR6863	102466752
56932142	56944864	42.95	16	HERPUD1	9709
18794078	18796067	43.62	20	LCDR	100270804
1325400	1378735	43.98	20	SDCBP2-AS1	100507495
12665890	12768949	41.77	17	MYOCD	93649
75040077	75209839	34.22	12	KCNC2	3747
41359962	41366818	62.58	20	EMILIN3	90187
5482736	5526709	46.23	20	LINC00654	149837
5507875	5510002	49.25	20	LINC01729	101929207
5544439	5611006	39.23	20	GPCPD1	56261
105857513	105857572	63.33	14	MIR4539	100616374
105858124	105858175	67.31	14	MIR4507	100616135
17539698	17697874	54.39	1	ARHGEF10L	55160
105858165	105858242	61.54	14	MIR4538	100616276
105859484	105859553	64.29	14	MIR4537	100616422
42932376	42948958	40.68	7	MRPL32	64983
1402932	1406442	69.24	4	NKX1-1	54729
7939001	7940296	71.30	4		389199
48306639	48439360	37.34	10	MAPK8	5599
8005301	8005381	40.74	4	MIR95	407052
129446501	129523500	36.87	X	SMARCA1	6594
8269754	8307098	56.08	4	HTRA3	94031
19020656	19047011	56.73	17	GRAP	400581
19020656	19047011	56.73	17	GRAP	10750
103312289	103344830	40.48	7	DNAJC2	27000
30066709	30070333	49.16	6	PPP1R11	6992
71609599	71667725	36.14	12	ZFC3H1	196441
63736283	63739103	68.95	20	LIME1	54923
88457119	88506163	39.40	4	HERC5	51191
57406954	57427580	48.17	11	SLC43A3	29015
76726830	76733936	47.85	17	METTL23	124512
30102897	30113090	47.09	6	TRIM31	11074
63861212	63864293	63.34	20		112268269
63861498	63862988	69.89	20	ABHD16B	140701
63865228	63891545	54.36	20	TPD52L2	7165
106850885	106850999	51.30	14	MIR5195	100847062
162069691	162370475	42.44	1	NOS1AP	9722
4360370	4400547	57.17	19	SH3GL1	6455
95407266	95516650	50.38	14	SYNE3	161176
30105240	30114724	46.09	6	TRIM31-AS1	104533120
36438972	36471016	36.54	15		105370769
30136124	30148735	42.69	6	TRIM40	135644
30151943	30161211	45.93	6	TRIM10	10107
36972821	36972901	38.27	15	MIR8063	102466875
36579626	36810248	37.44	15	CDIN1	84529
96907224	96953780	35.02	12	NEDD1	121441
56961923	56983845	50.76	16	CETP	1071
88520998	88523776	44.22	4	PYURF	100996939
88520998	88523776	44.22	4	PIGY	84992
58205441	58219605	47.45	17	MKS1	54903
30163206	30172693	47.10	6	TRIM15	89870
67909395	67964140	37.00	4	TMPRSS11A	339967
212992182	213015867	38.71	1	ANGEL2	90806
103445207	103514007	39.37	7	SLC26A5-AS1	101927870
74082933	74122525	54.59	7	LIMK1	3984
129539849	129592561	39.83	X	OCRL	4952
18970439	19031242	50.24	22	DGCR5	26220
74852871	74876154	45.31	14	PROX2	283571
158124474	158173318	37.11	4	GASK1B	51313
31863192	31879046	53.62	6	SLC44A4	80736
71320449	71741229	39.56	14	SIPA1L1	26037
19036282	19122454	48.62	22	DGCR2	9993
241637213	241673857	52.33	2	ATG4B	23192
130265760	130434123	54.65	9	HMCN2	256158
4402640	4445018	51.16	19	CHAF1A	10036
182409192	182560599	40.97	1	RGSL1	353299
144791931	144791991	78.69	8	MIR6850	102465978
144841042	144853736	53.13	8	COMMD5	28991
154401236	154412112	54.46	X	DNASE1L1	1774
15002481	15070153	35.08	4	CPEB2	132864
74191198	74191294	35.05	7	MIR590	693175
4444999	4457794	60.00	19	UBXN6	80700
103328570	103370346	39.90	7	PSMC2	5701
72587217	72587313	34.02	15	MIR630	693215
144876497	144902168	47.13	8	ZNF250	58500
72608481	72636962	47.94	15	LINC02259	102723640
122370530	122395703	50.08	9	PTGS1	5742
48446036	48656265	47.75	10	ARHGAP22	58504
72675798	72686182	44.05	15	HIGD2B	123346
57092583	57148369	54.03	16	CPNE2	221184
72686179	72738475	40.76	15	BBS4	585
28794555	28800597	44.93	22	XBP1	7494
63895126	63936031	51.41	20	DNAJC5	80331
32115264	32128253	51.45	6	ATF6B	1388
63919449	63919520	68.06	20	MIR941-1	100126329
63919505	63919576	68.06	20	MIR941-2	100126339
63919561	63919632	68.06	20	MIR941-3	100126352
63919756	63919827	68.06	20	MIR941-4	100126330
63919868	63919939	68.06	20	MIR941-5	103504732
63939829	63956416	62.53	20	UCKL1	54963
28364356	28404049	51.55	17	SARM1	23098
87345664	87399794	37.43	7	CROT	54677
102599168	102604159	45.27	X	ARMCX5	64860
14504874	14643635	40.21	11	PSMA1	5682
53046969	53064379	60.28	12	TNS2	23371
57245259	57253635	44.84	16	ARL2BP	23568
107061885	107118823	35.98	X	RBM41	55285
4445978	4446048	67.61	19	MIR4746	100616371
63941465	63941544	71.25	20	MIR1914	100302137
63942631	63942726	66.67	20	MIR647	693232
63953384	63956985	61.88	20	UCKL1-AS1	100113386
63956704	63969930	63.54	20	ZNF512B	57473
184325696	184325771	51.32	3	SNORD66	692107
4472297	4502208	57.06	19	HDGFL2	84717
231332753	231337852	43.25	1	EXOC8	149371
184335926	184348421	55.67	3	FAM131A	131408
63974116	63980008	61.55	20	SAMD10	140700
144930358	144950888	47.40	8	ZNF16	7564
177170958	177282422	41.88	1	BRINP2	57795
68956135	68985068	41.17	10	DDX21	9188
28394642	28407197	52.44	17	SLC46A1	113235
13849247	13996443	40.67	20	SEL1L2	80343
67109941	67148544	47.87	16	PHAF1	80262
154675249	154751583	40.81	X	GAB3	139716
198156994	198322420	35.84	1	NEK7	140609
145002811	145006046	48.67	8	ZNF252P-AS1	286103
32128707	32130288	54.55	6	FKBPL	63943
28546708	28552631	57.41	17	UNC119	9094
144148016	144261927	53.17	8	MROH1	727957
32152802	32154365	56.52	6		100507547
32153441	32163678	50.59	6	PPT2	9374
230314490	230426332	48.33	1	PGBD5	79605
149351709	149896233	35.80	4	IQCM	285423
64503712	64533690	39.55	14	ZBTB1	22890
154768528	154768659	40.15	X	SNORA36A	677817
154768596	154768656	42.62	X	MIR664B	100847052
154774998	154775126	48.84	X	SNORA56	677835
154823348	154834662	40.59	X	SMIM9	100132963
154887360	154887458	56.57	X	MIR1184-1	100302111
100671783	100732123	41.55	X	SYTL4	94121
48805212	48861817	39.50	4	OCIAD1	54940
50975262	51096061	40.47	14	TRIM9	114088
72782835	72798199	45.84	15	ADPGK-AS1	100287559
173608336	173669851	39.61	1	ANKRD45	339416
13995369	16053197	37.94	20	MACROD2	140733
72751294	72785846	43.50	15	ADPGK	83440
119078635	119150579	42.74	X	KIAA1210	57481
87401696	87480435	38.60	7	ABCB4	5244
184346185	184361650	55.48	3	CLCN2	1181
246945547	247008093	42.51	1	ZNF695	57116
28573115	28576948	55.56	17	ALDOC	230
122675130	122676104	42.67	9	OR1L3	26735
4522531	4535224	55.30	19	PLIN5	440503
52512077	52520803	42.82	X	XAGE1B	653067
121815674	122093606	44.45	9	TTLL11	158135
83067335	83067415	71.60	15	MIR4515	100616404
83107572	83144854	43.49	15	TM6SF1	53346
67148104	67150998	62.76	16	B3GNT9	84752
199148598	199393307	36.08	1	LINC02789	400800
4536402	4540036	55.52	19	LRG1	116844
67154185	67159909	58.67	16	TRADD	8717
61695513	61748259	37.25	14	HIF1A	3091
114060127	114078328	49.37	9	AMBP	259
213051233	213274774	37.51	1	RPS6KC1	26750
146814106	146814744	49.61	X	CXorf51A	100129239
66162671	66268867	38.49	X	HEPH	9843
4639516	4655568	55.56	19	TNFAIP8L1	126282
14322985	14337614	35.11	20	FLRT3	23767
67159932	67164570	60.47	16	FBXL8	55336
53044740	53051680	48.47	19	ERVV-2	100271846
14554384	14636524	36.14	20	MACROD2-IT1	140848
49009906	49009972	65.67	19	MIR6798	102466738
49015980	49017091	64.12	19	LHB	3972
14884250	14929528	38.65	20	MACROD2-AS1	100379174
93741591	93764749	41.12	11	C11orf54	28970
191245185	191425389	39.67	2	MYO1B	4430
15892355	15985876	38.94	20		613266
37101226	37179588	45.33	20	MROH8	140699
49043848	49045311	64.89	19	CGB5	93659
114086126	114099292	55.29	9	KIF12	113220
43489442	43550954	48.31	20	L3MBTL1	26013
67175599	67184040	56.57	16	MATCAP1	653319
49085419	49108605	53.38	19	SNRNP70	6625
83112738	83207823	39.55	15	HDGFL3	50810
117794490	118111826	41.16	8	EXT1	2131
35791003	35809732	49.66	9	NPR2	4882
67184379	67190185	59.81	16	EXOC3L1	283849
83255884	83284664	41.77	15	BNC1	646
41691585	41691678	31.91	15	MIR626	693211
41774434	41827855	49.09	15	MAPKBP1	23005
32164595	32168281	55.84	6	EGFL8	80864
87503017	87713323	37.02	7	ABCB1	5243
49114324	49118460	58.86	19	LIN7B	64130
35079598	35079680	26.51	10	MIR3611	100500890
11284816	11328146	37.53	8	MTMR9	66036
88819896	88851844	37.87	10	ANKRD22	118932
35869463	35870401	58.89	9	OR13J1	392309
67192155	67198918	56.56	16	E2F4	1874
205828025	205850132	46.63	1	PM20D1	148811
87882877	87888903	59.30	9	SPATA31E1	286234
88879734	88975153	39.34	10	STAMBPL1	57559
34379019	34397828	45.18	9	SPMIP6	84688
49118402	49119143	62.94	19	C19orf73	55150
53333749	53356906	44.14	19	ZNF845	91664
34398184	34458570	47.16	9	FAM219A	203259
61762420	61796428	39.55	14	SNAPC1	6617
53365693	53392217	43.64	19	ZNF525	170958
32168212	32178096	50.57	6	AGPAT1	10554
184399790	184457891	46.74	3	LINC02054	105374250
229440259	229508341	40.26	1	NUP133	55746
89063335	89063411	29.87	10	MIR4679-2	100616192
89063336	89063410	29.33	10	MIR4679-1	100616128
37178410	37241619	44.36	20	RPN2	6185
10784437	10795047	36.82	10	SFTA1P	207107
53389793	53430413	44.73	19	ZNF765	91661
38039205	38124025	48.50	3	DLEC1	9940
67199111	67204029	64.02	16	ELMO3	79767
11331012	11332360	55.67	8	SLC35G5	83650
11345748	11347502	53.90	8	TDH-AS1	100129129
28577565	28599025	46.20	17	SPAG5	10615
11632205	11649333	48.01	8		105379242
11973937	11974599	49.02	8	DEFB136	613210
62134149	62139973	41.99	14	LINC00644	101954204
24171853	24180257	55.21	14	REC8	9985
93184122	93320572	52.51	9	WNK2	65268
12132417	12134099	50.21	8	USP17L7	392197
53467733	53496255	44.00	19	ZNF813	126017
1755778	1801711	48.06	8	CLN8	2055
208728665	208736286	34.87	1	LINC01717	105372893
53666679	53666762	52.38	19	MIR512-1	574458
53669157	53669254	54.08	19	MIR512-2	574459
53671968	53672040	46.58	19	MIR1323	100302255
53674197	53674320	47.58	19	MIR498	574460
246516039	246524287	57.61	1	LINC01743	255654
53675711	53675797	43.68	19	MIR520E	574461
53679003	53679085	42.17	19	MIR515-1	574462
53679940	53680023	39.29	19	MIR519E	574463
53682159	53682245	48.28	19	MIR520F	574464
53685009	53685091	42.17	19	MIR515-2	574465
53686469	53686555	42.53	19	MIR519C	574466
53688481	53688567	43.68	19	MIR1283-1	100302265
53690881	53690965	48.24	19	MIR520A	574467
53694393	53694475	45.78	19	MIR526B	574468
53695213	53695293	43.21	19	MIR519B	574469
192316992	192367285	32.78	1	RGS21	431704
53697533	53697617	47.06	19	MIR525	574470
53698385	53698471	48.28	19	MIR523	574471
53700015	53700101	41.38	19	MIR518F	574472
53701227	53701287	45.90	19	MIR520B	574473
53702737	53702819	49.40	19	MIR518B	574474
53706252	53706336	45.88	19	MIR526A1	574475
53707453	53707539	44.83	19	MIR520C	574476
53708735	53708835	44.55	19	MIR518C	574477
53711002	53711088	47.13	19	MIR524	574478
53712268	53712354	42.53	19	MIR517A	574479
53713347	53713434	46.59	19	MIR519D	574480
53716594	53716680	43.68	19	MIR521-2	574481
53720096	53720182	42.53	19	MIR520D	574482
53721076	53721142	44.78	19	MIR517B	574483
53722166	53722255	44.44	19	MIR520G	574484
53725442	53725526	41.18	19	MIR516B2	574485
53726922	53726986	44.62	19	MIR526A2	574486
53729838	53729925	47.73	19	MIR518E	574487
53731006	53731090	47.06	19	MIR518A1	574488
53734877	53734963	49.43	19	MIR518D	574489
53736845	53736934	42.22	19	MIR516B1	574490
53739333	53739419	47.13	19	MIR518A2	574491
53741313	53741407	42.11	19	MIR517C	574492
53742512	53742599	43.18	19	MIR520H	574493
192575763	192580024	33.81	1	RGS1	5996
53748636	53748722	44.83	19	MIR521-1	574494
53751211	53751297	44.83	19	MIR522	574495
53752397	53752481	44.71	19	MIR519A1	574496
53754018	53754102	42.35	19	MIR527	574497
53756741	53756830	44.44	19	MIR516A1	574498
53758232	53758318	42.53	19	MIR1283-2	100302205
53761133	53761222	43.33	19	MIR516A2	574499
53762344	53762430	44.83	19	MIR519A2	574500
1815248	1848483	60.94	19	REXO1	57455
66257294	66267860	60.47	11	KLC2	64837
1763888	1958627	49.43	8	KBTBD11-OT1	104266957
1801125	1801192	36.76	8	MIR3674	100500912
1817231	1817307	72.73	8	MIR596	693181
1823926	1958641	50.01	8	ARHGEF10	9639
67202321	67202395	68.00	16	MIR328	442901
67227103	67229278	55.38	16	TMEM208	29100
163161675	163213023	38.52	1	RGS5-AS1	101928404
11316833	11319884	46.72	10	CELF2-AS1	414196
208972454	208975307	38.51	1	LINC01774	105372894
248906196	248919946	46.25	1	PGBD2	267002
73110375	73131828	41.24	10	NUDT13	25961
212858275	212899363	40.24	1	FLVCR1	28982
24070837	24078100	58.07	14	CPNE6	9362
630858	664196	46.32	12	NINJ2-AS1	100049716
1816159	1816238	72.50	19	MIR1909	100302210
